Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating,Decade,NA_Share,EU_Share,JP_Share,User_Higher
Dragon Quest IX: Sentinels of the Starry Skies,DS,2009,Role-Playing,Nintendo,0.63,0.67,4.35,0.15,5.78,87.0,65.0,88.0,197.0,Level 5,E10+,2000,0.10899653979238753,0.11591695501730104,0.7525951557093424,True
Tekken 2,PS,1996,Fighting,Sony Computer Entertainment,2.26,1.89,1.36,0.23,5.74,89.0,8.0,89.0,102.0,Namco,T,1990,0.3937282229965156,0.3292682926829268,0.23693379790940766,False
Destiny,PS4,2014,Shooter,Activision,2.49,2.07,0.16,0.92,5.64,76.0,95.0,61.0,5380.0,"Bungie Software, Bungie",T,2010,0.4414893617021277,0.3670212765957447,0.028368794326241138,False
LEGO Star Wars: The Complete Saga,Wii,2007,Action,LucasArts,3.57,1.55,0.0,0.51,5.64,80.0,17.0,89.0,62.0,Traveller's Tales,E10+,2000,0.6329787234042553,0.27482269503546103,0.0,True
Cooking Mama,DS,2006,Simulation,505 Games,3.07,1.91,0.07,0.57,5.63,67.0,35.0,72.0,21.0,Taito Corporation,E,2000,0.5452930728241563,0.3392539964476021,0.012433392539964477,True
Tetris,NES,1988,Puzzle,Nintendo,2.97,0.69,1.81,0.11,5.58,68.96767850559173,26.360820941378886,71.25046113306982,162.22990777338603,Unknown,Unknown,1980,0.5322580645161291,0.12365591397849461,0.32437275985663083,True
Super Smash Bros.,N64,1999,Fighting,Nintendo,2.95,0.6,1.97,0.04,5.55,68.96767850559173,26.360820941378886,71.25046113306982,162.22990777338603,Unknown,Unknown,1990,0.5315315315315315,0.10810810810810811,0.35495495495495494,True
Assassin's Creed II,PS3,2009,Action,Ubisoft,2.54,1.93,0.21,0.86,5.55,91.0,70.0,86.0,1202.0,Ubisoft Montreal,M,2000,0.4576576576576577,0.34774774774774775,0.03783783783783784,False
Assassin's Creed,X360,2007,Adventure,Ubisoft,3.28,1.64,0.07,0.56,5.54,81.0,77.0,77.0,1074.0,Ubisoft Montreal,M,2000,0.592057761732852,0.296028880866426,0.012635379061371842,False
Forza Motorsport 3,X360,2009,Racing,Microsoft Game Studios,2.99,1.9,0.1,0.5,5.49,92.0,90.0,80.0,516.0,Turn 10,E,2000,0.5446265938069217,0.3460837887067395,0.018214936247723135,False
Super Mario Advance,GBA,2001,Platform,Nintendo,3.14,1.24,0.91,0.2,5.49,84.0,19.0,78.0,41.0,Nintendo,E,2000,0.5719489981785064,0.22586520947176683,0.1657559198542805,False
Monster Hunter Freedom Unite,PSP,2008,Role-Playing,Capcom,0.47,0.55,4.13,0.34,5.48,81.0,48.0,87.0,124.0,Capcom,T,2000,0.08576642335766423,0.10036496350364964,0.7536496350364963,True
Batman: Arkham City,PS3,2011,Action,Warner Bros. Interactive Entertainment,2.71,1.85,0.11,0.81,5.48,96.0,42.0,86.0,2162.0,Rocksteady Studios,T,2010,0.49452554744525545,0.3375912408759124,0.020072992700729927,False
Grand Theft Auto V,XOne,2014,Action,Take-Two Interactive,2.81,2.19,0.0,0.47,5.48,97.0,14.0,79.0,764.0,Rockstar North,M,2010,0.5127737226277372,0.39963503649635035,0.0,False
Mario Kart: Super Circuit,GBA,2001,Racing,Nintendo,2.62,1.64,0.99,0.23,5.47,93.0,24.0,83.0,108.0,Intelligent Systems,E,2000,0.47897623400365635,0.29981718464351004,0.18098720292504572,False
Super Mario World,GBA,2001,Platform,Nintendo,3.21,1.11,0.95,0.2,5.46,68.96767850559173,26.360820941378886,71.25046113306982,162.22990777338603,Unknown,Unknown,2000,0.5879120879120879,0.20329670329670332,0.17399267399267399,True
Pokemon Stadium,N64,1999,Strategy,Nintendo,3.18,1.24,0.94,0.09,5.45,68.96767850559173,26.360820941378886,71.25046113306982,162.22990777338603,Unknown,Unknown,1990,0.5834862385321101,0.2275229357798165,0.17247706422018347,True
Crash Bandicoot: The Wrath of Cortex,PS2,2001,Platform,Universal Interactive,2.07,2.29,0.24,0.82,5.42,66.0,22.0,71.0,156.0,Traveller's Tales,E,2000,0.38191881918819187,0.4225092250922509,0.04428044280442804,True
Call of Duty: World at War,PS3,2008,Shooter,Activision,2.73,1.83,0.0,0.83,5.39,85.0,45.0,76.0,409.0,Treyarch,M,2000,0.5064935064935066,0.339517625231911,0.0,False
Uncharted 4: A Thief's End,PS4,2016,Shooter,Sony Computer Entertainment,1.85,2.5,0.19,0.85,5.38,93.0,113.0,79.0,7064.0,Naughty Dog,T,2010,0.34386617100371747,0.4646840148698885,0.03531598513011153,False
Dr. Mario,GB,1989,Puzzle,Nintendo,2.18,0.96,2.0,0.2,5.34,68.96767850559173,26.360820941378886,71.25046113306982,162.22990777338603,Unknown,Unknown,1980,0.4082397003745319,0.1797752808988764,0.37453183520599254,True
Final Fantasy XIII,PS3,2009,Role-Playing,Square Enix,1.74,1.21,1.87,0.51,5.33,83.0,83.0,73.0,2483.0,Square Enix,T,2000,0.32645403377110693,0.2270168855534709,0.350844277673546,False
Pokemon Pinball,GB,1999,Misc,Nintendo,3.02,1.12,1.01,0.16,5.31,68.96767850559173,26.360820941378886,71.25046113306982,162.22990777338603,Unknown,Unknown,1990,0.568738229755179,0.21092278719397367,0.19020715630885124,True
Final Fantasy IX,PS,2000,Role-Playing,SquareSoft,1.62,0.77,2.78,0.14,5.3,94.0,22.0,89.0,779.0,SquareSoft,T,2000,0.3056603773584906,0.14528301886792452,0.5245283018867924,False
Assassin's Creed III,X360,2012,Action,Ubisoft,3.13,1.69,0.03,0.44,5.29,84.0,61.0,67.0,1196.0,Ubisoft,M,2010,0.5916824196597353,0.31947069943289225,0.005671077504725897,False
Final Fantasy X-2,PS2,2003,Role-Playing,Electronic Arts,1.92,1.08,2.11,0.17,5.29,85.0,45.0,66.0,400.0,SquareSoft,T,2000,0.36294896030245744,0.20415879017013233,0.3988657844990548,False
Donkey Kong 64,N64,1999,Platform,Nintendo,3.33,0.79,1.09,0.06,5.27,68.96767850559173,26.360820941378886,71.25046113306982,162.22990777338603,Unknown,Unknown,1990,0.6318785578747629,0.14990512333965847,0.20683111954459207,True
Call of Duty: Advanced Warfare,XOne,2014,Shooter,Activision,3.22,1.55,0.01,0.48,5.27,81.0,53.0,54.0,898.0,Sledgehammer Games,M,2010,0.6110056925996206,0.29411764705882354,0.0018975332068311198,False
Minecraft,PS3,2014,Misc,Sony Computer Entertainment,2.03,2.37,0.0,0.87,5.26,68.96767850559173,26.360820941378886,71.25046113306982,162.22990777338603,Unknown,Unknown,2010,0.3859315589353612,0.4505703422053232,0.0,True
Assassin's Creed II,X360,2009,Action,Ubisoft,3.11,1.55,0.08,0.51,5.26,90.0,82.0,88.0,1305.0,Ubisoft Montreal,M,2000,0.591254752851711,0.2946768060836502,0.015209125475285173,False
Tomb Raider II,PS,1997,Action,Eidos Interactive,2.3,2.46,0.2,0.28,5.24,85.0,13.0,71.25046113306982,162.22990777338603,Core Design Ltd.,T,1990,0.4389312977099236,0.4694656488549618,0.03816793893129771,False
Madden NFL 2004,PS2,,Sports,Electronic Arts,4.26,0.26,0.01,0.71,5.23,94.0,29.0,85.0,140.0,EA Tiburon,E,,0.81453154875717,0.049713193116634795,0.0019120458891013384,False
Tomodachi Life,3DS,2013,Simulation,Nintendo,0.97,2.11,1.9,0.24,5.23,68.96767850559173,26.360820941378886,71.25046113306982,162.22990777338603,Unknown,Unknown,2010,0.18546845124282982,0.4034416826003824,0.36328871892925424,True
New Super Mario Bros. U,WiiU,2012,Platform,Nintendo,2.3,1.34,1.27,0.32,5.22,84.0,70.0,81.0,733.0,Nintendo,E,2010,0.44061302681992337,0.2567049808429119,0.24329501915708815,False
Dragon Quest VIII: Journey of the Cursed King,PS2,2004,Role-Playing,Square Enix,0.65,0.75,3.61,0.2,5.21,89.0,63.0,88.0,245.0,Level 5,T,2000,0.12476007677543187,0.14395393474088292,0.6928982725527831,False
Super Mario Bros. 3,GBA,2003,Platform,Nintendo,2.93,1.25,0.83,0.2,5.2,68.96767850559173,26.360820941378886,71.25046113306982,162.22990777338603,Unknown,Unknown,2000,0.5634615384615385,0.24038461538461536,0.1596153846153846,True
Professor Layton and the Curious Village,DS,2007,Puzzle,Nintendo,1.21,2.43,1.03,0.52,5.19,85.0,72.0,86.0,147.0,Level 5,E,2000,0.233140655105973,0.4682080924855491,0.19845857418111754,True
Super Mario Land 3: Wario Land,GB,1994,Platform,Nintendo,2.49,0.98,1.57,0.15,5.19,68.96767850559173,26.360820941378886,71.25046113306982,162.22990777338603,Unknown,Unknown,1990,0.4797687861271676,0.1888246628131021,0.302504816955684,True
FIFA Soccer 13,X360,2012,Action,Electronic Arts,1.09,3.47,0.03,0.57,5.16,90.0,48.0,61.0,403.0,Electronic Arts,E,2010,0.2112403100775194,0.6724806201550387,0.005813953488372093,False
Donkey Kong Country 2: Diddy's Kong Quest,SNES,1995,Platform,Nintendo,2.1,0.74,2.2,0.11,5.15,68.96767850559173,26.360820941378886,71.25046113306982,162.22990777338603,Unknown,Unknown,1990,0.4077669902912621,0.1436893203883495,0.4271844660194175,True
Diablo III,PC,2012,Role-Playing,Activision,2.44,2.16,0.0,0.54,5.14,88.0,86.0,40.0,9629.0,Blizzard Entertainment,M,2010,0.4747081712062257,0.4202334630350195,0.0,False
Medal of Honor: Rising Sun,PS2,2003,Shooter,Electronic Arts,1.98,2.23,0.13,0.8,5.13,68.0,30.0,76.0,100.0,EA LA,T,2000,0.38596491228070173,0.43469785575048736,0.0253411306042885,True
Kirby's Dream Land,GB,1992,Platform,Nintendo,2.71,0.61,1.7,0.11,5.13,68.96767850559173,26.360820941378886,71.25046113306982,162.22990777338603,Unknown,Unknown,1990,0.5282651072124757,0.1189083820662768,0.3313840155945419,True
Microsoft Flight Simulator,PC,1996,Simulation,Microsoft Game Studios,3.22,1.69,0.0,0.2,5.12,68.96767850559173,26.360820941378886,71.25046113306982,162.22990777338603,Unknown,Unknown,1990,0.62890625,0.330078125,0.0,True
Guitar Hero II,PS2,2006,Misc,RedOctane,3.81,0.63,0.0,0.68,5.12,92.0,69.0,85.0,112.0,Harmonix Music Systems,T,2000,0.744140625,0.123046875,0.0,False
Fable III,X360,2010,Role-Playing,Microsoft Game Studios,3.59,1.08,0.05,0.38,5.1,80.0,88.0,65.0,604.0,Lionhead Studios,M,2010,0.703921568627451,0.21176470588235297,0.009803921568627453,False
Mario & Sonic at the Olympic Games,DS,2008,Sports,Sega,1.63,2.45,0.44,0.57,5.09,68.96767850559173,26.360820941378886,71.25046113306982,162.22990777338603,Unknown,Unknown,2000,0.32023575638506874,0.48133595284872305,0.08644400785854617,True
Resident Evil 5,PS3,2009,Action,Capcom,1.96,1.41,1.08,0.64,5.09,84.0,76.0,75.0,667.0,Capcom,M,2000,0.3850687622789784,0.2770137524557957,0.21218074656188607,False
The Legend of Zelda: Phantom Hourglass,DS,2007,Action,Nintendo,1.85,1.8,0.95,0.48,5.08,90.0,57.0,80.0,416.0,Nintendo,E,2000,0.3641732283464567,0.3543307086614173,0.18700787401574803,False
Super Mario Bros.,GB,1999,Platform,Nintendo,3.4,1.3,0.15,0.22,5.07,68.96767850559173,26.360820941378886,71.25046113306982,162.22990777338603,Unknown,Unknown,1990,0.6706114398422091,0.2564102564102564,0.029585798816568046,True
FIFA Soccer 11,PS3,2010,Sports,Electronic Arts,0.61,3.28,0.06,1.12,5.07,89.0,51.0,80.0,233.0,EA Sports,E,2010,0.12031558185404338,0.6469428007889546,0.011834319526627219,False
Resident Evil,PS,1996,Action,Virgin Interactive,2.05,1.16,1.11,0.73,5.05,91.0,8.0,90.0,266.0,Capcom,M,1990,0.4059405940594059,0.22970297029702968,0.21980198019801983,False
Grand Theft Auto: Vice City Stories,PSP,2006,Action,Take-Two Interactive,1.7,1.99,0.16,1.18,5.03,86.0,50.0,80.0,150.0,Rockstar Leeds,M,2000,0.3379721669980119,0.3956262425447316,0.03180914512922465,False
Tony Hawk's Pro Skater,PS,1999,Sports,Activision,3.42,1.38,0.02,0.2,5.02,92.0,18.0,92.0,69.0,Neversoft Entertainment,T,1990,0.6812749003984064,0.2749003984063745,0.003984063745019921,False
Warzone 2100,PS,1999,Strategy,Eidos Interactive,2.79,1.89,0.0,0.33,5.01,68.96767850559173,26.360820941378886,71.25046113306982,162.22990777338603,Unknown,Unknown,1990,0.5568862275449102,0.3772455089820359,0.0,True
Spyro the Dragon,PS,1998,Platform,Sony Computer Entertainment,3.36,1.36,0.07,0.21,5.0,68.96767850559173,26.360820941378886,71.25046113306982,162.22990777338603,Unknown,Unknown,1990,0.6719999999999999,0.272,0.014000000000000002,True
Guitar Hero III: Legends of Rock,PS2,2007,Misc,Activision,3.49,0.01,0.01,1.48,4.98,82.0,24.0,82.0,46.0,"Neversoft Entertainment, BudCat",T,2000,0.7008032128514056,0.002008032128514056,0.002008032128514056,False
Link's Crossbow Training,Wii,2007,Shooter,Nintendo,3.05,1.17,0.29,0.46,4.98,68.0,34.0,71.0,47.0,Nintendo,T,2000,0.6124497991967871,0.23493975903614456,0.05823293172690762,True
Pokemon Mystery Dungeon: Explorers of Time/Explorers of Darkness,DS,2007,Role-Playing,Nintendo,1.83,1.19,1.54,0.37,4.93,68.96767850559173,26.360820941378886,71.25046113306982,162.22990777338603,Unknown,Unknown,2000,0.37119675456389456,0.2413793103448276,0.31237322515212984,True
Fallout 3,X360,2008,Role-Playing,Bethesda Softworks,3.4,0.99,0.09,0.45,4.93,93.0,84.0,85.0,1655.0,Bethesda Game Studios,M,2000,0.6896551724137931,0.20081135902636918,0.018255578093306288,False
Uncharted: Drake's Fortune,PS3,2007,Action,Sony Computer Entertainment,2.31,1.72,0.12,0.77,4.92,88.0,66.0,81.0,2306.0,"Naughty Dog, SCE/WWS",T,2000,0.46951219512195125,0.34959349593495936,0.024390243902439025,False
Madden NFL 06,PS2,2005,Sports,Electronic Arts,3.98,0.26,0.01,0.66,4.91,88.0,29.0,80.0,121.0,EA Sports,E,2000,0.8105906313645621,0.05295315682281059,0.002036659877800407,False
Diddy Kong Racing,N64,1997,Racing,Nintendo,2.91,0.99,0.89,0.1,4.88,68.96767850559173,26.360820941378886,71.25046113306982,162.22990777338603,Unknown,Unknown,1990,0.5963114754098361,0.2028688524590164,0.18237704918032788,True
Monster Hunter Freedom 3,PSP,2010,Role-Playing,Capcom,0.0,0.0,4.87,0.0,4.87,68.96767850559173,26.360820941378886,71.25046113306982,162.22990777338603,Unknown,Unknown,2010,0.0,0.0,1.0,True
Super Smash Bros. for Wii U and 3DS,WiiU,2014,Fighting,Nintendo,2.6,1.08,0.81,0.38,4.87,68.96767850559173,26.360820941378886,71.25046113306982,162.22990777338603,Unknown,Unknown,2010,0.5338809034907598,0.22176591375770022,0.16632443531827515,True
Dr. Mario,NES,1990,Puzzle,Nintendo,2.62,0.6,1.52,0.1,4.85,68.96767850559173,26.360820941378886,71.25046113306982,162.22990777338603,Unknown,Unknown,1990,0.5402061855670104,0.12371134020618557,0.31340206185567016,True
StarCraft II: Wings of Liberty,PC,2010,Strategy,Activision,2.57,1.68,0.0,0.58,4.84,93.0,82.0,82.0,3052.0,Blizzard Entertainment,T,2010,0.53099173553719,0.34710743801652894,0.0,False
Assassin's Creed,PS3,2007,Adventure,Ubisoft,1.91,2.0,0.09,0.82,4.82,81.0,40.0,73.0,769.0,Ubisoft Montreal,M,2000,0.3962655601659751,0.41493775933609955,0.01867219917012448,False
God of War III,PS3,2010,Action,Sony Computer Entertainment,2.74,1.33,0.12,0.61,4.8,92.0,101.0,87.0,2633.0,SCE Santa Monica,M,2010,0.5708333333333334,0.27708333333333335,0.025,False
Crash Team Racing,PS,1999,Racing,Sony Computer Entertainment,2.57,1.57,0.44,0.21,4.79,88.0,20.0,90.0,233.0,Naughty Dog,E,1990,0.5365344467640918,0.3277661795407098,0.0918580375782881,True
LEGO Star Wars: The Complete Saga,DS,2007,Action,LucasArts,2.83,1.48,0.0,0.45,4.76,80.0,9.0,54.0,46.0,TT Fusion,E,2000,0.5945378151260504,0.31092436974789917,0.0,False
Driver 2,PS,2000,Action,Atari,2.36,2.1,0.02,0.25,4.73,62.0,14.0,77.0,92.0,Reflections Interactive,T,2000,0.49894291754756864,0.4439746300211416,0.004228329809725158,True
Batman: Arkham City,X360,2011,Action,Warner Bros. Interactive Entertainment,2.99,1.27,0.04,0.42,4.73,94.0,87.0,87.0,1472.0,Rocksteady Studios,T,2010,0.6321353065539111,0.26849894291754756,0.008456659619450316,False
